Date : 2023-06-09 13:07:10
Directory : c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan
Total : 167 files,  36818 codes, 1289 comments, 2337 blanks, all 40444 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ChangeImage.vue                           | vue                |         32 |          0 |          4 |         36 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ChangePassword.vue                        | vue                |         32 |          0 |          4 |         36 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ChoiceMenu.vue                            | vue                |         76 |          0 |          8 |         84 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\FilmHomeView.vue                          | vue                |         16 |          0 |          5 |         21 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\FilmModule.vue                            | vue                |        166 |          0 |         15 |        181 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupCartoon.vue                          | vue                |        210 |          0 |         32 |        242 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupMiniCard.vue                         | vue                |         76 |          0 |         11 |         87 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupNewCartoon.vue                       | vue                |        626 |          0 |        115 |        741 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupShowCard.vue                         | vue                |        115 |          0 |         10 |        125 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupAdminMatterList.vue            | vue                |         68 |          0 |          8 |         76 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupHomePostList.vue               | vue                |        156 |          9 |         13 |        178 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupHomeView.vue                   | vue                |        258 |         10 |         38 |        306 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupMemberList.vue                 | vue                |          0 |          0 |          1 |          1 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupPage.vue                       | vue                |        498 |         15 |         40 |        553 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupPostList.vue                   | vue                |        104 |          3 |          9 |        116 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\HomeModule.vue                            | vue                |        166 |          0 |         13 |        179 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\HomeView.vue                              | vue                |         60 |          6 |          3 |         69 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\IndividualMiniCard.vue                    | vue                |        316 |          0 |         26 |        342 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\LoginBackImage.vue                        | vue                |         35 |          0 |          3 |         38 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\LoginModule.vue                           | vue                |        693 |          5 |         41 |        739 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\LoginView.vue                             | vue                |        299 |          0 |         48 |        347 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\MessageCardReply.vue                      | vue                |        173 |          0 |         23 |        196 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\MessageGood.vue                           | vue                |        126 |          0 |         16 |        142 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Post\Post.vue                             | vue                |        216 |         14 |         17 |        247 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\RefreshButton.vue                         | vue                |         67 |          0 |          9 |         76 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Review\ReviewView.vue                     | vue                |        513 |          2 |         27 |        542 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Review\WriteReview.vue                    | vue                |        238 |          0 |          9 |        247 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search.vue                                | vue                |        126 |          0 |         16 |        142 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchBar.vue                      | vue                |         79 |          1 |          7 |         87 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchBook.vue                     | vue                |         24 |          0 |          2 |         26 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchGroup.vue                    | vue                |         24 |          0 |          2 |         26 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchPost.vue                     | vue                |         24 |          0 |          2 |         26 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchTopic.vue                    | vue                |         24 |          0 |          2 |         26 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchVideo.vue                    | vue                |         24 |          0 |          2 |         26 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchView.vue                     | vue                |        238 |          7 |         22 |        267 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\SelfInfoChoice.vue                        | vue                |         32 |          0 |          4 |         36 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\SelfInformation.vue                       | vue                |        591 |          1 |         43 |        635 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\SystemInfo.vue                            | vue                |         80 |          0 |          9 |         89 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\TopicGroupModule.vue                      | vue                |        339 |          3 |         20 |        362 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomePostGroupList.vue          | vue                |         25 |          1 |          4 |         30 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomeTodaysHot.vue              | vue                |         28 |          1 |          4 |         33 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomeTopicSquare.vue            | vue                |        106 |          7 |          9 |        122 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomeView.vue                   | vue                |        341 |         11 |         41 |        393 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicPage.vue                       | vue                |        353 |         14 |         36 |        403 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicPageDefault.vue                | vue                |         33 |          0 |          4 |         37 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicPostList.vue                   | vue                |        105 |          4 |          9 |        118 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\UserHomeView.vue                          | vue                |        152 |          5 |         21 |        178 |
