"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchBook.vue", "vue", 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchGroup.vue", "vue", 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchPost.vue", "vue", 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchTopic.vue", "vue", 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchVideo.vue", "vue", 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchView.vue", "vue", 0, 0, 0, 0, 238, 0, 0, 7, 22, 267
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\SelfInfoChoice.vue", "vue", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\SelfInformation.vue", "vue", 0, 0, 0, 0, 591, 0, 0, 1, 43, 635
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\SystemInfo.vue", "vue", 0, 0, 0, 0, 80, 0, 0, 0, 9, 89
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\TopicGroupModule.vue", "vue", 0, 0, 0, 0, 339, 0, 0, 3, 20, 362
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomePostGroupList.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomeTodaysHot.vue", "vue", 0, 0, 0, 0, 28, 0, 0, 1, 4, 33
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomeTopicSquare.vue", "vue", 0, 0, 0, 0, 106, 0, 0, 7, 9, 122
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicHomeView.vue", "vue", 0, 0, 0, 0, 341, 0, 0, 11, 41, 393
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicPage.vue", "vue", 0, 0, 0, 0, 353, 0, 0, 14, 36, 403
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicPageDefault.vue", "vue", 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Topic\TopicPostList.vue", "vue", 0, 0, 0, 0, 105, 0, 0, 4, 9, 118
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\UserHomeView.vue", "vue", 0, 0, 0, 0, 152, 0, 0, 5, 21, 178
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Favlist.vue", "vue", 0, 0, 0, 0, 83, 0, 0, 0, 8, 91
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Group.vue", "vue", 0, 0, 0, 0, 93, 0, 0, 0, 7, 100
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Home.vue", "vue", 0, 0, 0, 0, 344, 0, 0, 0, 26, 370
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Message.vue", "vue", 0, 0, 0, 0, 357, 0, 0, 0, 22, 379
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Post.vue", "vue", 0, 0, 0, 0, 89, 0, 0, 0, 7, 96
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Setting.vue", "vue", 0, 0, 0, 0, 60, 0, 0, 0, 9, 69
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\User\Subscribe.vue", "vue", 0, 0, 0, 0, 255, 0, 0, 0, 13, 268
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Video\VideoCategory.vue", "vue", 0, 0, 0, 0, 159, 0, 0, 0, 9, 168
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Video\VideoDefault.vue", "vue", 0, 0, 0, 0, 87, 0, 0, 0, 3, 90
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Video\VideoDetail.vue", "vue", 0, 0, 0, 0, 805, 0, 0, 8, 99, 912
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Video\VideoHomeView.vue", "vue", 0, 0, 0, 0, 155, 0, 0, 2, 18, 175
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Video\VideoList.vue", "vue", 0, 0, 0, 0, 99, 0, 0, 8, 12, 119
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Video\VideoRankBoard.vue", "vue", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\vue.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1348, 8, 10532, 19, 24769, 122, 20, 1289, 2337, 40444
